supernova_mag_boost supernova_mag_stretch em_syserr inclination_EM log10_E0 thetaCore log10_n0 p log10_epsilon_e log10_epsilon_B timeshift luminosity_distance Ebv log_likelihood log_prior
3.1222817679395085 1.5585240435905232 0.34499480685172834 0.05104056688912084 54.18882545600519 0.146845071883411 -2.7852237846113237 2.625363342342955 -1.5137721149498962 -2.3292636512536617 0.0 1981.0 0.0 -33.78998713145437 -11.464997724662727
-2.7929145519834826 2.0923289657755197 0.2295287639994068 0.04665135820869647 55.855464279620264 0.26589024024745517 2.733813250773615 2.2714164730997313 -3.380841353325338 -1.0411372896573425 0.0 1981.0 0.0 -33.76316803519268 -11.057496715326128
-1.6219648506344857 2.0843295964743085 0.519573210121453 0.09292225636412221 53.849026763411416 0.3080779034812855 -0.6165674107983659 2.1529892797640073 -1.8097477314750616 -3.1052257532740697 0.0 1981.0 0.0 -33.71204504122301 -11.874476085157884
-1.1713250055449094 0.4100293424531414 0.5236563567146211 0.12460041044375163 55.33692375342123 0.26533546336653197 0.030259574456352745 2.3583614178655012 -2.5237814213853085 -4.966058470454021 0.0 1981.0 0.0 -33.694159765048965 -11.882304021736864
-2.713574578348283 2.2653518480951953 0.47867792045998775 0.04757432336931856 53.3029350473489 0.21635674385081666 -0.6726008630547469 2.275398299363674 -1.2920318336061638 -1.9603576940488558 0.0 1981.0 0.0 -33.63736234199338 -11.792496331722312
2.980615504158367 4.025856913982703 0.3226931098934982 0.09146142153216537 56.430689385163134 0.1684563999584604 0.10241347791781852 2.134727715520505 -4.17721232977207 -2.812051442417517 0.0 1981.0 0.0 -33.63060354315762 -11.39817010774819
4.924113778726296 2.4662875805550666 0.5434587359086445 0.08119716544500581 54.699641061318715 0.14488145770025312 -2.862415559592882 2.5063440242929245 -2.0254732849050354 -2.9182046427859776 0.0 1981.0 0.0 -33.61320261454094 -11.919422141136142
-2.998421929837228 4.0151835633564295 0.4176412316920519 0.000277104072012482 55.846182811746054 0.19358511355809277 -1.7251190016712101 2.7030594640527106 -1.2448770967409652 -6.453086636574253 0.0 1981.0 0.0 -33.612807257242416 -11.656091126937564
-3.911882930107283 2.8917417328815094 0.5412168307524953 0.09644238489976492 54.950585644185736 0.22278042547822713 -5.68814281869969 2.5087667763227217 -2.2954504901836885 -0.9985393751274998 0.0 1981.0 0.0 -33.601343391222954 -11.91528835511281
3.257910756157454 0.2581583233248212 0.3823974198381157 0.11964315344820751 53.38629951556228 0.11252647498444256 -1.435029247611804 2.081947420056262 -0.8594992186174375 -1.5737976675683658 0.0 1981.0 0.0 -33.59101209269639 -11.567928794217565
